AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
24,12.0,1.0,99.0,75000.0
61,,,,39800.0
43,22.0,1.0,1.0,39030.0
91,,,,4200.0
5,,,,
21,,,,0.0
61,30.0,1.0,25.0,66600.0
39,,,,0.0
62,,,,0.0
39,,,40.0,160000.0
55,60.0,2.0,40.0,41400.0
26,,,,8800.0
38,20.0,1.0,40.0,189300.0
48,20.0,1.0,30.0,20000.0
2,,,,
28,45.0,1.0,40.0,30000.0
52,,,,9850.0
59,15.0,1.0,40.0,32000.0
73,,,,45000.0
29,30.0,1.0,40.0,30100.0
38,20.0,1.0,40.0,80000.0
68,,,,86700.0
79,,,,15600.0
43,,,,0.0
69,,,,220000.0
80,,,,300.0
75,,,,10000.0
11,,,,
61,5.0,1.0,35.0,29500.0
83,,,,37400.0
39,,,10.0,1250.0
30,10.0,,40.0,77000.0
59,12.0,1.0,50.0,130000.0
37,70.0,1.0,40.0,43000.0
10,,,,
7,,,,
9,,,,
75,,,8.0,48400.0
32,20.0,1.0,20.0,20000.0
17,,,1.0,300.0
70,,,,18400.0
16,5.0,1.0,20.0,2800.0
51,15.0,1.0,40.0,125000.0
89,,,,20100.0
30,,,,200.0
17,,,12.0,1200.0
52,5.0,1.0,40.0,24800.0
26,20.0,2.0,25.0,18000.0
84,,,,20200.0
61,10.0,1.0,10.0,300.0
43,15.0,2.0,15.0,13600.0
74,,,,13100.0
61,45.0,1.0,4.0,7050.0
5,,,,
17,,,1.0,1000.0
45,1.0,,60.0,47000.0
37,30.0,,70.0,100200.0
28,10.0,1.0,40.0,45000.0
46,15.0,1.0,45.0,40000.0
30,30.0,1.0,30.0,25000.0
21,,,10.0,2000.0
60,25.0,1.0,35.0,47000.0
36,15.0,1.0,35.0,6400.0
32,,,,0.0
3,,,,
48,45.0,2.0,10.0,1700.0
26,45.0,1.0,20.0,10000.0
3,,,,
60,2.0,,60.0,42500.0
33,20.0,1.0,40.0,34000.0
1,,,,
