AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
3,,,,
57,45.0,1.0,40.0,39000.0
54,30.0,1.0,50.0,81000.0
7,,,,
29,60.0,,30.0,12000.0
10,,,,
31,15.0,1.0,56.0,46500.0
71,,,30.0,53700.0
67,,,2.0,90900.0
27,30.0,1.0,40.0,19000.0
16,,,20.0,2000.0
26,35.0,1.0,40.0,40000.0
66,20.0,1.0,35.0,49000.0
76,,,,43200.0
69,,,40.0,58000.0
53,75.0,1.0,40.0,52000.0
35,10.0,1.0,40.0,110000.0
78,,,,5400.0
9,,,,
43,,,,0.0
10,,,,
74,,,,3000.0
74,,,,52800.0
31,30.0,2.0,36.0,60000.0
9,,,,
34,10.0,1.0,60.0,77000.0
17,,,,0.0
60,30.0,1.0,45.0,100000.0
23,36.0,1.0,40.0,30000.0
53,,,,0.0
4,,,,
72,,,,11800.0
50,10.0,1.0,45.0,65000.0
75,,,,42900.0
66,,,,8900.0
28,20.0,1.0,40.0,55000.0
39,10.0,2.0,40.0,40000.0
22,5.0,8.0,70.0,30600.0
2,,,,
74,30.0,2.0,11.0,15100.0
35,5.0,1.0,60.0,36000.0
28,,,40.0,14900.0
24,,,40.0,28500.0
95,,,,26400.0
58,45.0,1.0,40.0,40000.0
8,,,,
47,20.0,1.0,72.0,55000.0
41,45.0,1.0,40.0,8100.0
78,15.0,1.0,40.0,68500.0
77,30.0,1.0,40.0,56400.0
44,10.0,1.0,50.0,75000.0
11,,,,
25,45.0,1.0,40.0,28000.0
37,,,50.0,17000.0
44,30.0,1.0,37.0,33600.0
78,,,,26200.0
23,,,,0.0
25,30.0,,40.0,25000.0
8,,,,
30,5.0,1.0,40.0,36000.0
61,30.0,1.0,24.0,20000.0
58,,,24.0,35500.0
10,,,,
67,,,,85600.0
32,5.0,,40.0,17000.0
7,,,,
26,10.0,2.0,34.0,16300.0
91,,,,48550.0
40,5.0,1.0,40.0,74000.0
44,,,8.0,3100.0
58,15.0,1.0,35.0,16400.0
32,30.0,1.0,50.0,25000.0
70,,,,30000.0
5,,,,
9,,,,
7,,,,
16,,,,0.0
70,,,20.0,42000.0
10,,,,
69,15.0,1.0,50.0,244000.0
65,35.0,1.0,25.0,29000.0
26,,,35.0,53000.0
13,,,,
58,45.0,1.0,40.0,112000.0
18,,,,0.0
57,,,,9000.0
76,,,3.0,16700.0
38,25.0,1.0,36.0,100000.0
54,35.0,3.0,40.0,40000.0
50,30.0,1.0,50.0,80200.0
16,,,,0.0
50,,,,900.0
28,10.0,1.0,40.0,23990.0
27,15.0,1.0,40.0,30000.0
57,10.0,1.0,40.0,88000.0
73,,,,5700.0
52,60.0,,40.0,28000.0
73,,,,16500.0
39,40.0,1.0,40.0,47000.0
47,15.0,1.0,50.0,73000.0
7,,,,
0,,,,
55,,,,0.0
73,,,,49400.0
59,10.0,1.0,40.0,148200.0
29,15.0,,40.0,26000.0
19,1.0,,40.0,23000.0
81,,,,88900.0
50,50.0,,40.0,62000.0
73,,,,7200.0
24,15.0,1.0,40.0,19200.0
32,,,,2100.0
35,145.0,4.0,30.0,29000.0
21,10.0,1.0,32.0,15100.0
65,,,,10900.0
62,,,,30000.0
48,145.0,1.0,50.0,20000.0
62,145.0,,40.0,75000.0
39,,,30.0,5800.0
76,,,,68000.0
4,,,,
20,12.0,,40.0,33000.0
67,30.0,2.0,20.0,22800.0
29,20.0,1.0,40.0,80000.0
60,35.0,1.0,48.0,34000.0
60,10.0,1.0,40.0,92500.0
56,30.0,1.0,27.0,180000.0
49,30.0,1.0,40.0,70000.0
26,30.0,1.0,40.0,70000.0
59,,,,0.0
64,5.0,1.0,12.0,32800.0
6,,,,
34,30.0,1.0,25.0,25900.0
40,,,,0.0
37,30.0,1.0,50.0,24000.0
76,,,,57900.0
7,,,,
55,,,,0.0
21,10.0,1.0,19.0,12700.0
2,,,,
67,,,50.0,69500.0
75,,,,18100.0
31,10.0,1.0,56.0,70000.0
8,,,,
78,,,,29200.0
65,,,,3000.0
75,,,,5000.0
59,,,20.0,5000.0
45,45.0,1.0,40.0,85000.0
2,,,,
63,,,,24000.0
11,,,,
51,,,,0.0
61,75.0,1.0,50.0,122200.0
68,,,,10000.0
19,15.0,1.0,35.0,15000.0
63,,,,12000.0
15,,,,0.0
